JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
NetSuite Analyst,Blueair,Stockholm,5 dagar sedan,2020-09-21,As a NetSuite analyst at Blueair your main responsibility is to ensure that different departments are working with the ERP system efficiently and correctly.,,https://se.indeed.com/rc/clk?jk=3cdb62350e1a3098&fccid=30c84cdf66799aa9&vjs=3
Digital Analyst,Trickle Distribution,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Identifying data and touch points, KPI’s and metrics for our campaigns and/or clients websites. We believe you’ve already worked with digital analysis and…",,https://se.indeed.com/rc/clk?jk=6051ea4a8d553f52&fccid=b86a4db21354a6a5&vjs=3
Quantitative Analyst,Kambi Stockholm,Stockholm,20 dagar sedan,2020-09-21,Experience using statistical computer languages (R and/or Python) to manipulate data and draw insights from large data sets. What’s in it for you?,,https://se.indeed.com/rc/clk?jk=d4e9715cc898c633&fccid=df42ed9fe8ff2a1d&vjs=3
Senior Data Analyst/Scientist for software download and over-the-air capabilities,Volvo,Göteborg,3 dagar sedan,2020-09-21,"Requirement gathering with focus on gathering and analysing data, using various types of analytics and reporting tools to detect patterns, trends and…",,https://se.indeed.com/rc/clk?jk=a039d093fc775301&fccid=849c0f4c2c13d398&vjs=3
Price Analyst Assistant (Budapest),ABACUS MEDICINE,Åre,Mer än 30 dagar sedan,2020-09-21,"Implementing data into the company’s database; Usage of different databases, working with a lot of data day by day. Are you the perfect candidate?",,https://se.indeed.com/rc/clk?jk=ce7ccb06cd2f7a33&fccid=df28821559cda2eb&vjs=3
Senior Data Analyst,ZeniMax Media Inc.,Uppsala,Mer än 30 dagar sedan,2020-09-21,5+ years' experience in AAA or mobile games development as a game data analyst or equivalent. High comfort level working with structured and unstructured data.,,https://se.indeed.com/rc/clk?jk=b2d919f02fb9dd87&fccid=1f253f9238a67842&vjs=3
Global Marketing Analyst,Storytel,Stockholm,6 dagar sedan,2020-09-21,Driving decision making with data visualization. Experience in working as analyst in performance marketing team. What we are looking for:,,https://se.indeed.com/rc/clk?jk=7d533c77634fd1f2&fccid=e169537e54ff8e59&vjs=3
Business Technology Analyst - ServiceNow,Sofigate Sweden,Stockholm,5 dagar sedan,2020-09-21,Vi söker dig som är ingenjör med data- eller annan teknisk inriktning. Sofigate is an IT management powerhouse with a strong role in digitalizing companies and…,,https://se.indeed.com/rc/clk?jk=7e12287a23cccb4c&fccid=4aee704206840718&vjs=3
Data Analyst II – Real World Evidence,PPD,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Implements routine data management tasks to convert raw data files into analytical datasets. In addition, this individual will participate in quantitative…",,https://se.indeed.com/rc/clk?jk=4d32da93e2a03c17&fccid=5e93bbb0f296b0b5&vjs=3
Business Analyst FP&A,Electrolux,Stockholm,18 dagar sedan,2020-09-21,"Analytical - With an eye for detail and the ability to interpret complex data, you can translate data into meaningful business insights that drive decision…",,https://se.indeed.com/rc/clk?jk=b648181de8249d67&fccid=3a6b309410a33a62&vjs=3
Business Analyst,Anyfin,Stockholm,3 dagar sedan,2020-09-21,"As a business analyst you will be. What we are looking for in a business analyst. Make recommendations, create business value and drive strategy based on…",,https://se.indeed.com/rc/clk?jk=4c3459ff9298aea5&fccid=baea990ef52d6306&vjs=3
Stability Analyst,Cepheid,Solna,3 dagar sedan,2020-09-21,"Generate/present data summaries, trending and update stability reports. Cepheid is a leading molecular diagnostics company that is dedicated to improving…",,https://se.indeed.com/rc/clk?jk=a22e25d8d6945208&fccid=2dc2f35c3405a529&vjs=3
BI Data Analyst,Bluestorm Recruitment,Sverige,Mer än 30 dagar sedan,2020-09-21,Worked as a business to consumer (B2C) analyst. Advanced SQL script writing ability accompanied with ability to build new reports based on “raw” data from the…,,https://se.indeed.com/rc/clk?jk=335f82cb67b14091&fccid=8d38cfeea18f7473&vjs=3
Digital Analyst,KAN,Malmö,Mer än 30 dagar sedan,2020-09-21,Analysera och tolka data-drivna insikter. Arbeta med relevanta tekniska verktyg för insamling och visualisering av data från olika källor.,,https://se.indeed.com/rc/clk?jk=0d28176d552b4e5c&fccid=88d16085121594c6&vjs=3
Business Analyst for Operational Data Lake,Swedbank,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Increasing Swedbanks analytical capabilities and diversifying its data landscape. Explore and introduce new platforms and technologies for discovery, advanced…",,https://se.indeed.com/rc/clk?jk=6873ed2ccae6b960&fccid=8276767fdf01edc0&vjs=3
Insights Analyst,AstraZeneca,Gärtuna,4 dagar sedan,2020-09-21,"The role will drive the analysis of data to support the process through the identification, analysis and interpretation of trends or patterns and prepare…",,https://se.indeed.com/rc/clk?jk=b3eb4e0380687025&fccid=003656df63cede32&vjs=3
Kravledare / Business Analyst,C.A.G MER Consulting,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Arbetat som kravledare, kravanalytiker, business analyst, produktägare eller motsvarande. Vill du utvecklas i din roll som kravledare/business analyst i en…",,https://se.indeed.com/rc/clk?jk=a07e7d51963ad249&fccid=5f4a4d962f13ccd8&vjs=3
Ecommerce Analyst,MatHem,Stockholm,13 dagar sedan,2020-09-21,"Experience with generating data to present with insights regarding customer data, site centric data as well as contextual data.",,https://se.indeed.com/rc/clk?jk=b1c6689672a344e2&fccid=7313fe1cf4f442a0&vjs=3
Business Intelligence Analyst to Central Analysis Team,H&M,Stockholm,4 dagar sedan,2020-09-21,Knowledge of data visualization and data modeling in Power BI and Microsoft Excel. Genuine interest in how to create business value with the use of data.,,https://se.indeed.com/rc/clk?jk=3bea2e7a91d24e04&fccid=7c13ea7d2941e927&vjs=3
"Product Analyst, POS Alliance",iZettle,Stockholm,5 dagar sedan,2020-09-21,"2+ years of experience analyzing growth data in a fast-paced, data-driven environment. Build and analyze dashboards and reports for product data.",,https://se.indeed.com/rc/clk?jk=9bbdc4679ccfde05&fccid=978d9fd9799d55a8&vjs=3
HR Operations Analyst,Whirlpool Corporation,Bromma,14 dagar sedan,2020-09-21,"Process changes in employee status, pay, benefits, facilitating the process to happen, involving the right stakeholders, ensuring the data consistency on the HR…",,https://se.indeed.com/rc/clk?jk=8414980e4ff0b674&fccid=c403821dbe674a88&vjs=3
Total Rewards Analyst,QlikTech International,Lund,Mer än 30 dagar sedan,2020-09-21,An enthusiastic seeker and user of data to manage programs and make decisions. Instilling data integrity to compensation programs by conducting regular audits…,,https://se.indeed.com/rc/clk?jk=55b76472e4a94f70&fccid=3bd32e7f5fdf6af0&vjs=3
Business Analyst,Epidemic Sound,Stockholm,16 dagar sedan,2020-09-21,"As a Business Analyst, you cooperate with data engineers, data scientists, data analysts and other stakeholders across the organization to ensure that the right…",,https://se.indeed.com/rc/clk?jk=5ee9ee20c62dc73b&fccid=0724ac049d2b292c&vjs=3
Senior Data Analyst/Scientist for software download and over-the-air capabilities,Volvo Cars,Göteborg,3 dagar sedan,2020-09-21,"Requirement gathering with focus on gathering and analysing data, using various types of analytics and reporting tools to detect patterns, trends and…",,https://se.indeed.com/rc/clk?jk=f1ed3b0ac0414532&fccid=849c0f4c2c13d398&vjs=3
Business Analyst to Mobile Apps Sweden,Swedbank,Umeå,19 dagar sedan,2020-09-21,"Structure and analyze data, for example from our customer feedback tools. High analytical skills and an eye for details, love to dig into data and turn it into…",,https://se.indeed.com/rc/clk?jk=e2aa5575b7f4a939&fccid=8276767fdf01edc0&vjs=3
