JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
"Consumer Segmentation Analyst to Polestar, Gothenburg",Polestar Performance AB,Göteborg,19 dagar sedan,2020-09-21,Establish core CRM reports using Salesforce data. Build data extension in Salesforce Marketing Cloud. Support Polestar customer support team with data requests.,,https://se.indeed.com/rc/clk?jk=d31c97a653bea942&fccid=f013e4fae78e764c&vjs=3
Business Analyst,Human Capital,Stockholm,11 dagar sedan,2020-09-21,Du har ett genuint intresse för att analysera data och processer samt genom dina insikter driva förbättringar. Dina huvudsakliga arbetsuppgifter blir följande:,,https://se.indeed.com/rc/clk?jk=29f245e30d456169&fccid=8db40fcd1aa2322c&vjs=3
Senior Financial Analyst - EU Expansion Finance,Amazon EU Sarl (Sweden Branch),Stockholm,24 dagar sedan,2020-09-21,"Deriving business insights from large volumes of data using data mining tools including proficiency in SQL, Databases and other coding mechanisms.",,https://se.indeed.com/rc/clk?jk=fa16eda0fda0210c&fccid=fe2d21eef233e94a&vjs=3
People Operations Analyst and System Owner,EasyPark,Stockholm,Mer än 30 dagar sedan,2020-09-21,"You have a strong interest in data and data analytics, and combined with your interest in the area you will be the go-to person for people insights and data…",,https://se.indeed.com/rc/clk?jk=c0f5905c97b74ad2&fccid=a454757a9d3e222c&vjs=3
Senior Impairment Analyst,Entercard,Stockholm,27 dagar sedan,2020-09-21,Ability to handle and analyze data. EnterCard is a finance company with a team of curious people passionate about data. Do we have a match?,,https://se.indeed.com/rc/clk?jk=387b071b8f0a3f45&fccid=3b202c2c9dd04d9f&vjs=3
Customer Success Manager,EF Education First,Stockholm,20 dagar sedan,2020-09-21,"Ability to interpret/analyze data, draw conclusions and construct a clear narrative. A logical and analytical mind who enjoys working with Ms Excel, data and…",,https://se.indeed.com/rc/clk?jk=424773fdb3ef20ab&fccid=b73e8c57e5544151&vjs=3
Senior Business Analyst/Process Specialist,Swedbank,Stockholm,7 dagar sedan,2020-09-21,"Are you passionate about Regulatory Reporting, process efficiency work & bringing order to data? With us you have the opportunity to:",,https://se.indeed.com/rc/clk?jk=4978332bdd9227c4&fccid=8276767fdf01edc0&vjs=3
Lead financial analyst till Westinghouse,Norén & Lindholm,Sverige,19 dagar sedan,2020-09-21,Allt för att vi ska får ett mer effektivt system med mer rättvisande data. Under 2019 lanserades vi en ny operativ modell vilket har ställt nya krav på…,,https://se.indeed.com/rc/clk?jk=4c7107898a0c97d8&fccid=b98ef4cf73e29d2d&vjs=3
"Enterprise Risk Management Specialist, Analyst – Group Business Risk & Compliance",IKEA,Malmö,Idag,2020-09-21,"You enjoy working with data analytics and can translate data into relevant management information. Since this is a data driven role, experience in dynamic risk…",,https://se.indeed.com/rc/clk?jk=1715f706edec1903&fccid=af17ea0d1d6bbbba&vjs=3
Industrial Engineer to FedEx in Stockholm,TNG,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Analyzing large amount of data to optimize transport flow. We think you have a background as an analyst or as a statistician in logistics, finance or technology…",,https://se.indeed.com/rc/clk?jk=5ddfa0c31f32981a&fccid=ada73c3f77c05693&vjs=3
Senior Data Analyst,Datascope Recruitment,Stockholm,Mer än 30 dagar sedan,2020-09-21,You would continually analyse feature and player data to guide the development of features and systems. You should have good SQL skills as well as experience…,,https://se.indeed.com/rc/clk?jk=c2a29a7c39a96bef&fccid=98d608a086c9a75a&vjs=3
Sales Executive,Avensia,Göteborg,17 dagar sedan,2020-09-21,"Are you a proactive, confident self starter who is looking to join a company in a hyper-growth market where every single day provides an opportunity to learn…",,https://se.indeed.com/rc/clk?jk=f54304461a4d6aa2&fccid=076a259082235b27&vjs=3
Sales Specialist Information Management,Avensia,Lund,17 dagar sedan,2020-09-21,We are looking for a driven and enthusiastic Sales Specialist who will play a key role in driving our Information Management for Commerce (IMC) Business Area…,,https://se.indeed.com/rc/clk?jk=f584991ecb5b8fd8&fccid=076a259082235b27&vjs=3
SEM Specialist,Trickle Distribution,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Execute tests, collect and analyze data, identify trends and insights in order to achieve maximum effect in paid search campaigns.",,https://se.indeed.com/rc/clk?jk=1d615716a06cc266&fccid=b86a4db21354a6a5&vjs=3
Vill du jobba som förvaltningsledare laboratorie-IT och bidra till ett rättssäkert samhälle?,Rättsmedecinalverket,Sverige,3 dagar sedan,2020-09-21,"Akademisk grundutbildning inom data/IT eller annan utbildning, exempelvis naturvetenskaplig ingenjörsutbildning, i kombination med arbetslivserfarenhet som RMV…",,https://se.indeed.com/rc/clk?jk=ffa2a77528b33a97&fccid=e436a2afb3250c5a&vjs=3
Data Analyst to H&M Business Tech Checkout Area,H&M,Stockholm,24 dagar sedan,2020-09-21,Ability to analyze large amounts of data into clear insights. Ability to communicate and explain data and its implications to various stakeholders.,,https://se.indeed.com/rc/clk?jk=0d769f4fe4ea8c28&fccid=7c13ea7d2941e927&vjs=3
Sales Analyst to Samsung!,i Value Your Talent Sweden AB,Stockholm,21 dagar sedan,2020-09-21,Strong numerical and analytical skills with experience of translating data from multiple sources into intuitive reports through data visualization.,,https://se.indeed.com/rc/clk?jk=adf2734978542885&fccid=9e7cae6a73c3faba&vjs=3
Digital Analyst,Hemnet AB,Stockholm,5 dagar sedan,2020-09-21,"We offer you a data driven analyst role working in team with an experimental approach. Analyze, visualize and present behavioral data.",,https://se.indeed.com/rc/clk?jk=232e99e720e3a3ea&fccid=81a0469955356d6f&vjs=3
"Senior Director, Europe Studios Analytics",Electronic Arts,Stockholm,Mer än 30 dagar sedan,2020-09-21,Familiarity with statistical software and big data environments. Foster and grow a data informed learning culture on your team and throughout EA.,,https://se.indeed.com/rc/clk?jk=52dd93210c24b99f&fccid=617d7f961cfcf54a&vjs=3
Digital Manager/ Digital Analyst,EPICO,Göteborg,17 dagar sedan,2020-09-21,Coordinate data lake support and maintenance with IT. Represent data and analytics team in cookie consent project and contribute with what's needed from our…,,https://se.indeed.com/rc/clk?jk=0d1912a1d7e6c3c5&fccid=ae87f44adf978f09&vjs=3
Rust Software Engineer - Bot Protection,Imperva,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Imperva is an analyst-recognized, cybersecurity leader—championing the fight to secure data and applications wherever they reside.",,https://se.indeed.com/rc/clk?jk=092c2e865917ce27&fccid=a83aa9033316475b&vjs=3
Backend Developer - Sellers Experience,Hemnet,Stockholm,Mer än 30 dagar sedan,2020-09-21,"We work data-driven in close collaboration with each other- exploring small things, test and iterate. We validate against real data so we don't have to waste…",,https://se.indeed.com/rc/clk?jk=cd0ab0e31517c992&fccid=b20a462c58961ed0&vjs=3
Security Engineers,WirelessCar,Göteborg,3 dagar sedan,2020-09-21,That’s why we aim to accelerate the digital transformation in the automotive industry and in the next few years infuse over 100 million cars with digital…,,https://se.indeed.com/rc/clk?jk=3ccd018e89e5a58a&fccid=184fc16a1e65c54f&vjs=3
Streaming Catalogue Manager,Epidemic Sound,Stockholm,20 dagar sedan,2020-09-21,"Robust confidence with both content management systems and data asset management tools, as well as baseline data processing capabilities, are required.",,https://se.indeed.com/rc/clk?jk=f26cc62cd54f2e86&fccid=0724ac049d2b292c&vjs=3
Business Consultant,Cloudity,Stockholm,Mer än 30 dagar sedan,2020-09-21,First experience as business consultant/business analyst. Please remember to add to your CV the following formula: „I hereby agree for processing the following…,,https://se.indeed.com/rc/clk?jk=d49bba92bd54085e&fccid=bd41bb961da0e0e7&vjs=3
Senior Game Analyst [Live Operations],Ubisoft,Malmö,3 dagar sedan,2020-09-21,Expert querying ability using large disparate data-sets. Supporting operations and developers with insights based on telemetry data. Are you up for it?,,https://se.indeed.com/rc/clk?jk=f75225a241ae9e43&fccid=237908de095b6446&vjs=3
SAP Specialist | Logistic,Coesia,Göteborg,28 dagar sedan,2020-09-21,Leads the effort to manage and clean the data in SAP. FlexLink is the industry leader in material flow solutions.,,https://se.indeed.com/rc/clk?jk=bd5581e9772afa0a&fccid=21f9ba231cded098&vjs=3
"IT Business Analyst, Digital Marketing",Electrolux,Stockholm,7 dagar sedan,2020-09-21,"You use data to inform your decision making and strategic thinking, with a keen eye on details. IT Business Analyst, Digital Marketing.",,https://se.indeed.com/rc/clk?jk=374c96d93ef8b7c3&fccid=3a6b309410a33a62&vjs=3
Business Analyst,Fatalist Development AB,Stockholm,Mer än 30 dagar sedan,2020-09-21,Collaborate with peers within Avalanche Studios Group data analyst discipline. Partner in developing the data infrastructure (big-data) that enables data aware…,,https://se.indeed.com/rc/clk?jk=f475549927aca9db&fccid=36cb6f4987e5db17&vjs=3
Business Analyst till storbank i centrala Stockholm!,Amendo,Stockholm,9 dagar sedan,2020-09-21,"Ansvara för gruppering och sortering av relativt komplex data. I denna roll måste du snabbt kunna förstå komplex information (data, strukturer), utföra medel…",,https://se.indeed.com/rc/clk?jk=4b2df89410c45a7c&fccid=0a2524164790de7d&vjs=3
Analyst: Client Relations & Capital Raising,Finance Recruitment,Stockholm,19 dagar sedan,2020-09-21,"The ability to handle large amounts of data. On behalf of our client, we are seeking an Analyst for the Client Relations & Capital Raising team at EQT Partners…",,https://se.indeed.com/rc/clk?jk=7156dee6bf4f48c6&fccid=bb226cc167077b1e&vjs=3
Sales Analyst - NENT Radio,NENT Radio,Stockholm,Mer än 30 dagar sedan,2020-09-21,The world is continuously growing to be more data driven and there is no difference within radio. Are you known for being outgoing and service-minded and find…,,https://se.indeed.com/rc/clk?jk=529767852e8e081f&fccid=584b1f1bae1afbe5&vjs=3
Client Manager - SaaS,Voyado,Stockholm,16 dagar sedan,2020-09-21,"Use your LinkedIn profile (or upload a resume) and answer a few click-in questions (no data entry, we promise). Introducing and selling new features to clients.",,https://se.indeed.com/rc/clk?jk=bb76c7049bf60fae&fccid=d44b571ab722ccd5&vjs=3
Marketing tech specialist,Recoordinate,Stockholm,Mer än 30 dagar sedan,2020-09-21,Requirement analyst from a technical and marketing perspective. We believe you are consultative which would make you a suitable fit for giving our customers…,,https://se.indeed.com/rc/clk?jk=b17f6b27f05ee51e&fccid=336e47e805ed3d49&vjs=3
Business Solutions Architect,inRiver,Malmö,Mer än 30 dagar sedan,2020-09-21,"Experience leading data modeling & process design workshops. 5+ years’ experience as business analyst, project manager, consultant or similar.",,https://se.indeed.com/rc/clk?jk=65e7e047e3862119&fccid=253e4543c03c479f&vjs=3
Business Systems Manager,Cepheid,Solna,5 dagar sedan,2020-09-21,"Develop and facilitate organizing and conducting relevant, concise, data driven, professional presentations to leadership with concise recommendations.",,https://se.indeed.com/rc/clk?jk=efa4a92dfc39dd72&fccid=2dc2f35c3405a529&vjs=3
"Project Manager, Implementation & Delivery - Voyado,...",Voyado,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Use your LinkedIn profile (or upload a resume) and answer a few click-in questions (no data entry, we promise). Some examples of your daily work:",,https://se.indeed.com/rc/clk?jk=1c637170e35d32e8&fccid=d44b571ab722ccd5&vjs=3
Chief Product Officer,Bitrefill,Stockholm,Mer än 30 dagar sedan,2020-09-21,"You are a natural problem solver and analyst, who can identify risk and suggest strategies for alleviating it. Code review and product review.",,https://se.indeed.com/rc/clk?jk=db84366580544044&fccid=89657259c86b6c78&vjs=3
DevOps Cloud Engineer,ALTEN Sverige,Stockholm,12 dagar sedan,2020-09-21,"If your head is up in the Clouds, keep on reading! Would you like to be a part of our awesome development teams, consisting of a multicultural mix of skilled…",,https://se.indeed.com/rc/clk?jk=9ada0e44de293442&fccid=6e57dceacef0d055&vjs=3
Sr. Client Success Manager,Pegasystems,Jobba hemifrån,Mer än 30 dagar sedan,2020-09-21,Customer Success requires analysis of available data to determine customer health and identification of new data - to drive proactive outreach.,,https://se.indeed.com/rc/clk?jk=47e10346a0e5c2b9&fccid=1b567d66763b30ee&vjs=3
CK-191 SAP MM Consultant,caisma-kmit,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Minimum of 2 years’ experience of SAP design, principles and configuration working as Application expert/Requirement analyst. The Master Data scope includes:",,https://se.indeed.com/rc/clk?jk=6896e9572a458664&fccid=5edee848854254b0&vjs=3
Technogarden Stockholm satsar på IT! Vill du vara med på...,Technogarden,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Technogarden är ett konsult- och rekryteringsbolag med fokus på IT- och teknikkompetenser. Vi tror på att våra konsulter är hjärtat i vår verksamhet, därför är…",,https://se.indeed.com/rc/clk?jk=65efb0e7850c18d8&fccid=ccaa4351de7b2fb9&vjs=3
BI Developer/Analyst to strong and growing company!,Perido,Stockholm,10 dagar sedan,2020-09-21,Experience of data visualization in Power BI. Involvement in BI architecture design and analytical data model development. We are looking for you who have:,,https://se.indeed.com/rc/clk?jk=07adaaed92a6ac07&fccid=ec2ab813141322ad&vjs=3
Product Owner Software,Your.Rentals,Malmö,Mer än 30 dagar sedan,2020-09-21,A great ability to analyze complex data and make well informed product decisions. Define data and reporting requirements and implement these in our business…,,https://se.indeed.com/rc/clk?jk=65c694ed8b820988&fccid=e63968d221e3ba49&vjs=3
Engineering Manager - Bot Protection,Imperva,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Imperva is an analyst-recognized, cybersecurity leader—championing the fight to secure data and applications wherever they reside. We expect that you have:",,https://se.indeed.com/rc/clk?jk=8a23053e0f72d2e1&fccid=a83aa9033316475b&vjs=3
Senior Business Analyst,Epidemic Sound,Stockholm,20 dagar sedan,2020-09-21,"Experience in similar data engineering, data analysis, business intelligence or data visualization role. As a Senior Business Analyst, you cooperate with data…",,https://se.indeed.com/rc/clk?jk=a9677b546658201e&fccid=0724ac049d2b292c&vjs=3
SHAREHOLDER RELATIONS MANAGER,EQT,Stockholm,12 dagar sedan,2020-09-21,"Create presentations, analyze data and ensure that data which will be presented to analysts and stakeholders is correct.",,https://se.indeed.com/rc/clk?jk=cb0085651791c1a3&fccid=c235d22e32022e8e&vjs=3
Cloud Security Engineer - Viaplay,Nordic Entertainment Group,Stockholm,11 dagar sedan,2020-09-21,"Writing automation, data collection and infrastructure by code. Are you obsessed with building security solutions and thrilled about the fast-paced evolution of…",,https://se.indeed.com/rc/clk?jk=09c817ca4e620bff&fccid=aa5f0eb9888a49aa&vjs=3
Accolade Specialist/Designer – Sweden,Firstaff Personnel Consultants Ltd,Malmö,Mer än 30 dagar sedan,2020-09-21,"General understanding of master data management and system integra-tion. (Good technical un-derstanding is required, but also ability to work as designer…",,https://se.indeed.com/rc/clk?jk=ab58b71ea248b87b&fccid=00eed407d34e9f15&vjs=3
Senior HR IT Business Analyst,Ework Group AB,Stockholm,6 dagar sedan,2020-09-21,"Ensure business process integration, data consistency and architectural adherence. We are looking for a candidate with 5+ years of experience from working as a…",,https://se.indeed.com/rc/clk?jk=090ef0c2477f7013&fccid=62a6259ef6c426f6&vjs=3
Senior Technical Web Analyst,Harnham,Stockholm,25 dagar sedan,2020-09-21,"In this role you'll sit within their hugely successful Digital team in a hands-on, highly technical capacity using GTM /DTM and Web Analytics tools to deliver…",,https://se.indeed.com/rc/clk?jk=5e94739ca1d7ef5f&fccid=d72eb0548d91249c&vjs=3
Marketing Technologies Specialist (MarTech),Bluestorm Recruitment,Sverige,Mer än 30 dagar sedan,2020-09-21,Help support the data infrastructure required by the marketing team to deliver their goals. Ensure that BI Analyst needs for data tools is fully supported in a…,,https://se.indeed.com/rc/clk?jk=feae1d8ebd6edc3a&fccid=8d38cfeea18f7473&vjs=3
Business Analyst - Sztokholm - kontrakt,Hunt4IT,Stockholm,Mer än 30 dagar sedan,2020-09-21,"We currently have a vacancy for an Analyst fluent in English, to offer his/her services as an expert who will be based in Stockholm.",,https://se.indeed.com/rc/clk?jk=1dfa9b5e46585629&fccid=7997035d6982576b&vjs=3
Rust Software Engineer,Imperva,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Imperva is an analyst-recognized, cybersecurity leader—championing the fight to secure data and applications wherever they reside.",,https://se.indeed.com/rc/clk?jk=8e01005f8a10741d&fccid=a83aa9033316475b&vjs=3
Growth Hacker Specialist till PodMe,Next u,Stockholm,4 dagar sedan,2020-09-21,"Minst 3 års arbetslivserfarenhet på relevant roll ex data analyst, converstion manager eller digital marknadsföring. ... eller på vanligt sätt längre ned.",,https://se.indeed.com/rc/clk?jk=e3028fc2951ad0fc&fccid=2bb4ad310e45953b&vjs=3
Strategic Account Executive - Commerce Cloud,Salesforce,Stockholm,Mer än 30 dagar sedan,2020-09-21,"You will engage with prospect organisations to position salesforce solutions through strategic value based selling, business case definition, ROI analysis,…",,https://se.indeed.com/rc/clk?jk=04e866527ed5692b&fccid=4027cfd917e1ee29&vjs=3
Senior Business Analyst / Project Manager till storbank i...,SJR,Stockholm,10 dagar sedan,2020-09-21,Gruppering och sortering av komplex data. Vidare är du en driven och självgående person som har ett genuint intresse för att analysera data och processer samt…,,https://se.indeed.com/rc/clk?jk=3e0b9b6cddd06eb7&fccid=3aae1e6d60d2bd69&vjs=3
Credit Risk Analyst - Portfolio,Harnham,Stockholm,Mer än 30 dagar sedan,2020-09-21,"And you need to be able to balance both hard (A/B testing outcomes) and soft (customer feedback) data. Up to 750,000 SEK plus competitive share scheme benefits.",,https://se.indeed.com/rc/clk?jk=3a5439c7a31ff808&fccid=d72eb0548d91249c&vjs=3
Java Tech Lead till SEB i Stockholm,SEB,Stockholm,27 dagar sedan,2020-09-21,Vill du jobba med arkitektur inom Master Data Management? Välkommen som Java Tech Lead hos SEB i Stockholm. Här får du möjlighet att ta egna initiativ gällande…,,https://se.indeed.com/rc/clk?jk=0987b468a5e7c22a&fccid=2eb52353f2b6f939&vjs=3
Finance Controller,Menzies Aviation,Arlanda,Mer än 30 dagar sedan,2020-09-21,"Menzies Aviation is one of the world's largest suppliers of ground handling services. We are an independent, time-critical logistics specialist serving the…",,https://se.indeed.com/rc/clk?jk=fc081fe309ce439d&fccid=0bde2a78ac7371d9&vjs=3
Vill du jobba som förvaltningsledare laboratorie-IT?,Rättsmedicinalverket,Linköping,3 dagar sedan,2020-09-21,"Akademisk grundutbildning inom data/IT eller annan utbildning, exempelvis naturvetenskaplig ingenjörsutbildning, i kombination med arbetslivserfarenhet som RMV…",,https://se.indeed.com/rc/clk?jk=dd5f6fdef5eeaf6d&fccid=703facd198c2371f&vjs=3
AI Lead,Bouvet AB,Stockholm,Mer än 30 dagar sedan,2020-09-21,Erfarenhet av att leda förändringsarbete inom data science/analytics/strategy. Som konsult och medarbetare på Bouvet kommer du att utmanas och få utmana i…,,https://se.indeed.com/rc/clk?jk=d59d40bbb47329eb&fccid=35e4112951fa937d&vjs=3
Enterprise Account Executive,Salesforce,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Position Salesforce solutions through strategic value based selling, business case definition, ROI analysis, references and analyst data.",,https://se.indeed.com/rc/clk?jk=2d19ce56fa80d1ae&fccid=4027cfd917e1ee29&vjs=3
Jr Analyst/Business Controller with great VBA-skills to Large Cap-company – 12 months interim,MRG,Solna,Mer än 30 dagar sedan,2020-09-21,"Experience from master data management, building dynamic financial data models, quickly manipulate complex data and conduct in depth analysis is preferred.",,https://se.indeed.com/rc/clk?jk=ea8d5ac3c5ffa1ec&fccid=a00f4d10ba27f551&vjs=3
SAP Specialist | FI/CO,Coesia,Göteborg,28 dagar sedan,2020-09-21,Leads the effort to manage and clean the data in SAP. FlexLink is the industry leader in material flow solutions.,,https://se.indeed.com/rc/clk?jk=6a3200d9abd98266&fccid=21f9ba231cded098&vjs=3
Credit Risk Model Analyst,Harnham,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Up to 900,000 SEK plus a competitive benefits package. Are you a Credit Risk Model Analyst with an interest in Capital and Impairment?",,https://se.indeed.com/rc/clk?jk=c388762bfc225ab9&fccid=d72eb0548d91249c&vjs=3
Senior Account Executive,Salesforce,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Position Salesforce solutions through strategic value based selling, business case definition, ROI analysis, references and analyst data.",,https://se.indeed.com/rc/clk?jk=245bccaab1f7bcb0&fccid=4027cfd917e1ee29&vjs=3
Senior Rust Software Engineer,Imperva,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Imperva is an analyst-recognized, cybersecurity leader—championing the fight to secure data and applications wherever they reside.",,https://se.indeed.com/rc/clk?jk=c3c6ed33cabba5a0&fccid=a83aa9033316475b&vjs=3
Credit Risk Model Developer - IRB,Harnham,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Credit Risk Model Developer - IRB. Up to 800,000 SEK plus a competitive benefits package. Are you a Credit Risk Modelling Analyst with an interest in Capital…",,https://se.indeed.com/rc/clk?jk=af80afd88009bf38&fccid=d72eb0548d91249c&vjs=3
Data Analyst,Dabster Systems,Göteborg,19 dagar sedan,2020-09-21,"Extract and structure data using specialized analytics tools under general supervision, use it to analyze opportunities/problems defined by the business, the…",,https://se.indeed.com/company/Dabster-Systems/jobs/Data-Analyst-062fe337615e5502?fccid=5d566231933113d5&vjs=3
Business Analyst,Raven Consulting,Stockholm,7 dagar sedan,2020-09-21,The main responsibilities of the business analyst are: *. Raven Consulting is hiring ( junior and senior) business analyst in the banking domain for multiple…,,https://se.indeed.com/company/Raven-Consulting/jobs/Business-Analyst-ad69153c9df4f22d?fccid=4c8d5d2764ef15f1&vjs=3
Data Analyst - Peri- and Post Approval Studies (PPAS),Evidera,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Implements routine data management tasks to convert raw data files into analytical datasets. In addition, this individual will participate in quantitative…",,https://se.indeed.com/rc/clk?jk=9019c9b62314f478&fccid=13bdc6eb14329ae4&vjs=3
Financial Analyst,Verisure Innovation AB,Malmö,6 dagar sedan,2020-09-21,Examine reports and data closely to check for discrepancies. Business leadership: Goes beyond the mere reporting of data.,,https://se.indeed.com/rc/clk?jk=1c77ba35ec313965&fccid=ed8ba7520e3f6ae5&vjs=3
Data Analyst Leader - Ingka Centres Services AB,Ingka Centres Services AB,Malmö,4 dagar sedan,2020-09-21,"Support data driven decision on product and strategy by visualisation of data. Large datasets and of data set processes for data modelling, mining and…",,https://se.indeed.com/rc/clk?jk=2990931905374fda&fccid=e95025ad62fdf776&vjs=3
SAP MDM Analyst,Red Commerce,Stockholm,5 dagar sedan,2020-09-21,Actively manage master data attributes and processes for aggregating master data inputs from cross functional teams. Create and maintain SAP master data.,,https://se.indeed.com/rc/clk?jk=bf51f251d70d283f&fccid=f3363a1b446e52ca&vjs=3
Data Analyst & Master Data Specialist,Moveup,Stockholm,Mer än 30 dagar sedan,2020-09-21,"The Masterdata Specialist works with analysts, internal departments and commercial business units to resolve data issues and carries out Mass data system…",,https://se.indeed.com/rc/clk?jk=60eb8e318d39db46&fccid=66949fc28f5bfb39&vjs=3
"Senior Data Analyst, Team Manager",Rovio Sweden AB,Stockholm,3 dagar sedan,2020-09-21,3+ years experience as an analyst or data scientist or product manager. Communication is key to make data actionable. Designing and evaluating tracking events.,,https://se.indeed.com/rc/clk?jk=6f6c10d86a6591df&fccid=4f46a1fce8c95f4a&vjs=3
Senior Digital Analyst,Beet AB,Sverige,Mer än 30 dagar sedan,2020-09-21,"Är du en driven marknadsförare med kärlek för data, riktigt bra kaffe, fredagsbubbel och härliga kollegor? En del av detta går ut på att genomföra behovsanalys…",,https://se.indeed.com/rc/clk?jk=7ef7969539c68f3f&fccid=27110437ccac76ce&vjs=3
Teknikingenjörer till MCA Stockholm!,Mission Consultancy Assistance Sweden AB,Stockholm,10 dagar sedan,2020-09-21,MCA satsar stort i Stockholm och är i full färd med att etablera oss inom IT för att vara en del av den snabba och spännande teknikutvecklingen som sker i…,,https://se.indeed.com/rc/clk?jk=d32f56b326297325&fccid=97a21db1c6cfcfb9&vjs=3
Senior Java Software Engineer - Simulation Team,Ocado Group,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Python experience, particularly in a data mining and analysis setting. As an analyst, generating and using large datasets to help inform business decisions and…",,https://se.indeed.com/rc/clk?jk=7bb31d0d4b51e603&fccid=dde460449ad6f8d7&vjs=3
